k_par,k_per,P,P_err
1.68333600E-01,2.75400000E-01,1.046165346439768931E-04,3.563987126856355587E-06
1.68333600E-01,3.21300000E-01,9.849704010456278021E-05,3.036124176644836931E-06
1.68333600E-01,3.67200000E-01,9.936866641280490498E-05,5.274885418733910356E-06
1.68333600E-01,4.13100000E-01,1.179639382558225318E-04,3.767586213409678923E-06
1.68333600E-01,4.59000000E-01,1.370957289704315997E-04,4.205893641778706985E-06
,,,
1.75892000E-01,4.59000000E-02,1.926630215219285844E+02,4.428915583367332154E+00
1.75892000E-01,9.18000000E-02,2.405149403947848796E+01,7.635937514524856473E-01
1.75892000E-01,1.37700000E-01,1.677147537381312503E+00,5.442914560036144628E-02
1.75892000E-01,1.83600000E-01,5.650100947107130483E-03,3.033474006997431693E-04
1.75892000E-01,2.29500000E-01,1.731002647187401258E-04,4.723722729651763003E-06
1.75892000E-01,2.75400000E-01,1.132712171054043129E-04,3.858632689099484963E-06
1.75892000E-01,3.21300000E-01,9.843228203451620658E-05,2.427269283303998956E-06
1.75892000E-01,3.67200000E-01,8.963025201798151004E-05,3.197387517846955032E-06
1.75892000E-01,4.13100000E-01,1.027981884016092827E-04,2.634219171101467238E-06
1.75892000E-01,4.59000000E-01,1.145370011552997917E-04,3.444104988489086219E-06
,,,
1.83450400E-01,4.59000000E-02,1.572206494615625161E+02,3.691240394215192122E+00
1.83450400E-01,9.18000000E-02,1.951644118713305076E+01,6.579194320655332717E-01
1.83450400E-01,1.37700000E-01,1.409768532484699577E+00,4.933755336587716811E-02
1.83450400E-01,1.83600000E-01,6.244740043933848239E-03,3.303757568707452164E-04
1.83450400E-01,2.29500000E-01,1.894274743116703037E-04,5.796122714484511629E-06
1.83450400E-01,2.75400000E-01,1.169028917472157697E-04,4.146960443733697435E-06
1.83450400E-01,3.21300000E-01,9.654709202403576680E-05,2.556752587711511364E-06
1.83450400E-01,3.67200000E-01,8.097740985161488005E-05,2.828743057983844368E-06
1.83450400E-01,4.13100000E-01,7.981098194809607357E-05,1.952657430646666362E-06
1.83450400E-01,4.59000000E-01,7.736545741763496708E-05,2.724699627714021203E-06
,,,
1.91008800E-01,4.59000000E-02,1.491671485258472956E+02,3.332378254210616841E+00
1.91008800E-01,9.18000000E-02,1.886495290397330038E+01,6.313908168997376391E-01
1.91008800E-01,1.37700000E-01,1.382804648574124329E+00,4.965953652564285975E-02
1.91008800E-01,1.83600000E-01,6.920318852791948125E-03,3.834122572172952276E-04
1.91008800E-01,2.29500000E-01,1.936114149711682677E-04,7.416051559367396479E-06
1.91008800E-01,2.75400000E-01,9.991780212618345312E-05,3.817683494583119867E-06
1.91008800E-01,3.21300000E-01,8.060341933312477000E-05,2.151116327450146420E-06
1.91008800E-01,3.67200000E-01,6.808534509716851610E-05,2.539586114107693917E-06
1.91008800E-01,4.13100000E-01,7.042423555078833558E-05,2.063316850967314310E-06
1.91008800E-01,4.59000000E-01,7.040519496771759003E-05,2.109134143758362290E-06
,,,
1.98567200E-01,4.59000000E-02,1.604485954739941462E+02,3.855204814409819658E+00
1.98567200E-01,9.18000000E-02,2.046475981999596527E+01,7.416757544653186374E-01
1.98567200E-01,1.37700000E-01,1.483493867491243678E+00,5.937525733199803396E-02
1.98567200E-01,1.83600000E-01,7.424160728375118860E-03,5.099532824566807131E-04
1.98567200E-01,2.29500000E-01,1.928744023369433265E-04,1.047565934477906558E-05
1.98567200E-01,2.75400000E-01,8.324626719620093775E-05,3.258000584023726642E-06
1.98567200E-01,3.21300000E-01,8.036576799647549051E-05,2.249512184555989421E-06
1.98567200E-01,3.67200000E-01,7.727976976490221373E-05,3.281281739278294971E-06
1.98567200E-01,4.13100000E-01,7.285062825438960157E-05,2.264994623945423443E-06
1.98567200E-01,4.59000000E-01,6.398885582318163459E-05,2.008232844929042913E-06
,,,
2.06125600E-01,4.59000000E-02,1.099027634597271970E+02,3.021366555952687882E+00
2.06125600E-01,9.18000000E-02,1.512260154062668782E+01,6.050979331058277122E-01
2.06125600E-01,1.37700000E-01,1.217510291683951529E+00,5.067460191390123908E-02
2.06125600E-01,1.83600000E-01,8.601612128231468646E-03,6.091460642106091318E-04
2.06125600E-01,2.29500000E-01,2.152600485772779109E-04,1.348737909228427675E-05
2.06125600E-01,2.75400000E-01,7.910304786899905263E-05,2.995113251433896251E-06
2.06125600E-01,3.21300000E-01,8.061924684548880081E-05,2.161281030455949331E-06
2.06125600E-01,3.67200000E-01,7.789078494419338539E-05,3.081165391307592985E-06
2.06125600E-01,4.13100000E-01,7.055926979506997880E-05,1.986265235209415487E-06
2.06125600E-01,4.59000000E-01,6.505334634708374603E-05,2.293416575726390490E-06
,,,
2.13684000E-01,4.59000000E-02,8.045998998280373371E+01,2.576082658541387183E+00
2.13684000E-01,9.18000000E-02,1.259246286911051094E+01,5.449777131382161910E-01
2.13684000E-01,1.37700000E-01,1.134715145300358108E+00,4.793032066238905875E-02
2.13684000E-01,1.83600000E-01,9.589099022149570606E-03,7.311220178279606357E-04
2.13684000E-01,2.29500000E-01,2.573128556515052079E-04,1.854965063804213260E-05
2.13684000E-01,2.75400000E-01,9.853943799571792772E-05,3.887372026688927681E-06
2.13684000E-01,3.21300000E-01,1.005835337246364090E-04,2.889021846346821072E-06
2.13684000E-01,3.67200000E-01,9.528126723818536835E-05,3.867183262842880432E-06
2.13684000E-01,4.13100000E-01,8.138273676621795498E-05,2.354983853340677163E-06
2.13684000E-01,4.59000000E-01,6.819928256154687580E-05,2.452394259597504290E-06
,,,
2.21242400E-01,4.59000000E-02,9.945045098084885637E+01,3.067166811540621651E+00
2.21242400E-01,9.18000000E-02,1.438451681388445813E+01,5.998259831752296156E-01
2.21242400E-01,1.37700000E-01,1.248712943971851175E+00,5.284348579450069694E-02
2.21242400E-01,1.83600000E-01,1.123933115819676989E-02,9.655132354983302382E-04
2.21242400E-01,2.29500000E-01,3.244195150216800869E-04,2.552545374785990007E-05
2.21242400E-01,2.75400000E-01,1.067243014715385323E-04,4.965196888367819033E-06
2.21242400E-01,3.21300000E-01,9.844971498267703243E-05,3.546629270876921922E-06
2.21242400E-01,3.67200000E-01,9.281526115709770879E-05,4.638729833166932681E-06
2.21242400E-01,4.13100000E-01,8.945779424420474137E-05,2.864158984919839571E-06
2.21242400E-01,4.59000000E-01,7.684535591339230500E-05,2.595932422140746042E-06
,,,
2.28800800E-01,4.59000000E-02,1.139424829893686706E+02,3.645636791658575682E+00
2.28800800E-01,9.18000000E-02,1.529100333220263153E+01,7.232169820747413880E-01
2.28800800E-01,1.37700000E-01,1.266437260235907525E+00,6.136773334259746498E-02
2.28800800E-01,1.83600000E-01,1.236049575343277362E-02,1.138547725091553376E-03
2.28800800E-01,2.29500000E-01,3.810815310817187150E-04,3.328411957534831595E-05
2.28800800E-01,2.75400000E-01,9.145424077221071747E-05,4.996299794883514464E-06
2.28800800E-01,3.21300000E-01,8.121167299107544387E-05,3.076521528523148572E-06
2.28800800E-01,3.67200000E-01,8.057460502723213602E-05,3.808167944103268132E-06
2.28800800E-01,4.13100000E-01,9.493813450710127620E-05,3.059213235644391449E-06
2.28800800E-01,4.59000000E-01,1.157438777039498094E-04,4.124661447339879691E-06
,,,
