k per (hMpc^-1)  k par (hMpc^-1) P_21 (K^2h^-3Mpc^3)  P_noise (K^2h^-3Mpc^3)   Delta P_thermal (K^2h^-3Mpc^3)  Sample variance (K^2h^-3Mpc^3) 
     0.099518211     0.296342  0.000464868  7.24008e-05  1.57992e-05   0.000101443
     0.099518211     0.338677  0.000333438  6.62471e-05  1.44563e-05   7.27621e-05
     0.099518211     0.381011  0.000240016  6.94745e-05  1.51606e-05   5.23758e-05
     0.099518211     0.423346  0.000310243  5.01112e-05  1.09352e-05   6.77007e-05
      0.10717346    0.0423346  0.000541577  5.31637e-05  1.16013e-05   0.000118182
      0.10717346    0.0846692  0.000598404  5.54178e-05  1.20931e-05   0.000130582
      0.10717346     0.127004  0.000349458  9.93136e-05  2.16720e-05   7.62580e-05
      0.10717346     0.169338  0.000353953  6.83391e-05  1.49128e-05   7.72390e-05
      0.10717346     0.211673  0.000241027  8.39139e-05  1.83115e-05   5.25964e-05
      0.10717346     0.254008  0.000603089  7.26263e-05  1.58484e-05   0.000131605
      0.10717346     0.296342  0.000419741  6.37891e-05  1.39199e-05   9.15949e-05
      0.10717346     0.338677  0.000354368  7.20853e-05  1.57303e-05   7.73295e-05
      0.10717346     0.381011  0.000363481  8.84023e-05  1.92910e-05   7.93180e-05
      0.10717346     0.423346  0.000322949  5.22847e-05  1.14095e-05   7.04732e-05
      0.11482871    0.0423346  0.000691426  5.74220e-05  1.25305e-05   0.000150882
      0.11482871    0.0846692  0.000556064  6.03375e-05  1.31667e-05   0.000121343
      0.11482871     0.127004  0.000297261  0.000110332  2.40764e-05   6.48676e-05
      0.11482871     0.169338  0.000369733  6.98962e-05  1.52526e-05   8.06823e-05
      0.11482871     0.211673  0.000329295  8.31467e-05  1.81441e-05   7.18580e-05
      0.11482871     0.254008  0.000572294  6.99103e-05  1.52557e-05   0.000124885
      0.11482871     0.296342  0.000424120  5.81037e-05  1.26793e-05   9.25506e-05
      0.11482871     0.338677  0.000451975  7.38910e-05  1.61243e-05   9.86290e-05
      0.11482871     0.381011  0.000502312  8.72459e-05  1.90386e-05   0.000109613
      0.11482871     0.423346  0.000268355  7.51586e-05  1.64009e-05   5.85599e-05
      0.12248395    0.0423346  0.000686433  6.83204e-05  1.49087e-05   0.000149792
      0.12248395    0.0846692  0.000551827  7.81202e-05  1.70472e-05   0.000120419
      0.12248395     0.127004  0.000271961  0.000110155  2.40377e-05   5.93468e-05
      0.12248395     0.169338  0.000487809  7.67679e-05  1.67521e-05   0.000106449
      0.12248395     0.211673  0.000488520  6.21231e-05  1.35564e-05   0.000106604
      0.12248395     0.254008  0.000481354  5.90022e-05  1.28753e-05   0.000105040
      0.12248395     0.296342  0.000514671  6.75396e-05  1.47384e-05   0.000112310
      0.12248395     0.338677  0.000473604  8.32754e-05  1.81722e-05   0.000103349
      0.12248395     0.381011  0.000546415  7.59310e-05  1.65695e-05   0.000119237
      0.12248395     0.423346  0.000301376  8.58818e-05  1.87409e-05   6.57656e-05
      0.13013920    0.0423346  0.000306278  9.69189e-05  2.11494e-05   6.68354e-05
      0.13013920    0.0846692  0.000517869  9.95049e-05  2.17137e-05   0.000113008
      0.13013920     0.127004  0.000296238  0.000124417  2.71500e-05   6.46444e-05
      0.13013920     0.169338  0.000506502  8.60344e-05  1.87743e-05   0.000110528
      0.13013920     0.211673  0.000538695  5.56991e-05  1.21545e-05   0.000117553
      0.13013920     0.254008  0.000472330  5.21134e-05  1.13721e-05   0.000103071
      0.13013920     0.296342  0.000560188  8.36215e-05  1.82477e-05   0.000122243
      0.13013920     0.338677  0.000552019  8.93889e-05  1.95063e-05   0.000120460
      0.13013920     0.381011  0.000463975  7.86929e-05  1.71722e-05   0.000101248
      0.13013920     0.423346  0.000351029  8.46279e-05  1.84673e-05   7.66009e-05
      0.13779445    0.0423346  0.000229396  0.000128511  2.80434e-05   5.00583e-05
      0.13779445    0.0846692  0.000564932  0.000115244  2.51482e-05   0.000123278
      0.13779445     0.127004  0.000301598  0.000141639  3.09081e-05   6.58141e-05
      0.13779445     0.169338  0.000420501  9.72773e-05  2.12276e-05   9.17608e-05
      0.13779445     0.211673  0.000471260  7.70845e-05  1.68212e-05   0.000102837
      0.13779445     0.254008  0.000460995  5.79353e-05  1.26425e-05   0.000100597
      0.13779445     0.296342  0.000504423  9.91928e-05  2.16457e-05   0.000110074
      0.13779445     0.338677  0.000639137  8.45596e-05  1.84524e-05   0.000139471
      0.13779445     0.381011  0.000328148  9.33724e-05  2.03755e-05   7.16078e-05
      0.13779445     0.423346  0.000375229  8.38422e-05  1.82959e-05   8.18817e-05
      0.14544969    0.0423346  0.000285010  0.000151582  3.30778e-05   6.21942e-05
      0.14544969    0.0846692  0.000551265  0.000130398  2.84551e-05   0.000120296
      0.14544969     0.127004  0.000379370  0.000151356  3.30285e-05   8.27853e-05
      0.14544969     0.169338  0.000390614  9.06610e-05  1.97839e-05   8.52389e-05
      0.14544969     0.211673  0.000404139  0.000100153  2.18551e-05   8.81903e-05
      0.14544969     0.254008  0.000390970  7.37656e-05  1.60970e-05   8.53167e-05
      0.14544969     0.296342  0.000488004  9.11455e-05  1.98896e-05   0.000106491
      0.14544969     0.338677  0.000671164  8.25616e-05  1.80164e-05   0.000146460
      0.14544969     0.381011  0.000260586  9.77880e-05  2.13391e-05   5.68645e-05
      0.14544969     0.423346  0.000398763  8.27682e-05  1.80615e-05   8.70173e-05
      0.15310494    0.0423346  0.000303318  0.000148937  3.25007e-05   6.61894e-05
      0.15310494    0.0846692  0.000566958  0.000155628  3.39607e-05   0.000123720
      0.15310494     0.127004  0.000354115  0.000143979  3.14188e-05   7.72741e-05
      0.15310494     0.169338  0.000453797  8.20682e-05  1.79087e-05   9.90266e-05
      0.15310494     0.211673  0.000425698  0.000130751  2.85323e-05   9.28950e-05
      0.15310494     0.254008  0.000288587  9.95991e-05  2.17343e-05   6.29747e-05
      0.15310494     0.296342  0.000405793  9.05749e-05  1.97651e-05   8.85513e-05
      0.15310494     0.338677  0.000455698  9.18184e-05  2.00364e-05   9.94416e-05
      0.15310494     0.381011  0.000269799  9.73086e-05  2.12345e-05   5.88749e-05
      0.15310494     0.423346  0.000395584  8.58202e-05  1.87275e-05   8.63236e-05
      0.16076019    0.0423346  0.000230414  0.000128891  2.81263e-05   5.02804e-05
      0.16076019    0.0846692  0.000546031  0.000159996  3.49141e-05   0.000119154
      0.16076019     0.127004  0.000326378  0.000127482  2.78189e-05   7.12216e-05
      0.16076019     0.169338  0.000532760  7.74207e-05  1.68946e-05   0.000116258
      0.16076019     0.211673  0.000516143  0.000152981  3.33833e-05   0.000112632
      0.16076019     0.254008  0.000208320  0.000124583  2.71863e-05   4.54592e-05
      0.16076019     0.296342  0.000406385  9.63522e-05  2.10258e-05   8.86806e-05
      0.16076019     0.338677  0.000410949  0.000102827  2.24388e-05   8.96764e-05
      0.16076019     0.381011  0.000336023  9.07165e-05  1.97960e-05   7.33262e-05
      0.16076019     0.423346  0.000362657  0.000103098  2.24977e-05   7.91382e-05
      0.16841543    0.0423346  0.000249206  0.000120321  2.62563e-05   5.43811e-05
      0.16841543    0.0846692  0.000500711  0.000140784  3.07217e-05   0.000109264
      0.16841543     0.127004  0.000395540  0.000126129  2.75237e-05   8.63140e-05
      0.16841543     0.169338  0.000598314  9.05523e-05  1.97601e-05   0.000130563
      0.16841543     0.211673  0.000652055  0.000165158  3.60405e-05   0.000142290
      0.16841543     0.254008  0.000188665  0.000152891  3.33636e-05   4.11700e-05
      0.16841543     0.296342  0.000450340  0.000111010  2.42243e-05   9.82722e-05
      0.16841543     0.338677  0.000479479  0.000116797  2.54873e-05   0.000104631
      0.16841543     0.381011  0.000413007  0.000125947  2.74840e-05   9.01255e-05
      0.16841543     0.423346  0.000353018  0.000143907  3.14031e-05   7.70349e-05
      0.17607068    0.0423346  0.000262494  0.000172469  3.76358e-05   5.72810e-05
      0.17607068    0.0846692  0.000428222  0.000168548  3.67801e-05   9.34457e-05
      0.17607068     0.127004  0.000478918  0.000143305  3.12717e-05   0.000104509
      0.17607068     0.169338  0.000715126  0.000110555  2.41251e-05   0.000156053
      0.17607068     0.211673  0.000799282  0.000178603  3.89744e-05   0.000174418
      0.17607068     0.254008  0.000316136  0.000153976  3.36003e-05   6.89866e-05
      0.17607068     0.296342  0.000425619  0.000165763  3.61725e-05   9.28776e-05
      0.17607068     0.338677  0.000447222  0.000122156  2.66566e-05   9.75919e-05
      0.17607068     0.381011  0.000343703  0.000186403  4.06764e-05   7.50021e-05
      0.17607068     0.423346  0.000465008  0.000183245  3.99872e-05   0.000101473
      0.18372593    0.0423346  0.000257240  0.000227411  4.96251e-05   5.61345e-05
      0.18372593    0.0846692  0.000329113  0.000237053  5.17292e-05   7.18183e-05
      0.18372593     0.127004  0.000519438  0.000145666  3.17869e-05   0.000113351
      0.18372593     0.169338  0.000870908  0.000127201  2.77575e-05   0.000190048
      0.18372593     0.211673  0.000704230  0.000208963  4.55995e-05   0.000153676
      0.18372593     0.254008  0.000403035  0.000166184  3.62642e-05   8.79494e-05
      0.18372593     0.296342  0.000306571  0.000204415  4.46070e-05   6.68993e-05
      0.18372593     0.338677  0.000394332  0.000156561  3.41645e-05   8.60504e-05
      0.18372593     0.381011  0.000263031  0.000260825  5.69167e-05   5.73981e-05
      0.18372593     0.423346  0.000763920  0.000186334  4.06615e-05   0.000166701
      0.19138118    0.0423346  0.000252675  0.000269587  5.88287e-05   5.51381e-05
      0.19138118    0.0846692  0.000334781  0.000247695  5.40514e-05   7.30551e-05
      0.19138118     0.127004  0.000538234  0.000173962  3.79615e-05   0.000117452
      0.19138118     0.169338  0.000814381  0.000161214  3.51799e-05   0.000177713
      0.19138118     0.211673  0.000405361  0.000302174  6.59398e-05   8.84571e-05
      0.19138118     0.254008  0.000446157  0.000206062  4.49665e-05   9.73594e-05
      0.19138118     0.296342  0.000266303  0.000240122  5.23990e-05   5.81121e-05
      0.19138118     0.338677  0.000345808  0.000206987  4.51682e-05   7.54616e-05
      0.19138118     0.381011  0.000249968  0.000302648  6.60433e-05   5.45474e-05
      0.19138118     0.423346  0.000946512  0.000168306  3.67273e-05   0.000206546
      0.19903642    0.0423346  0.000287084  0.000283192  6.17976e-05   6.26468e-05
      0.19903642    0.0846692  0.000395261  0.000267302  5.83301e-05   8.62531e-05
      0.19903642     0.127004  0.000644923  0.000190958  4.16705e-05   0.000140734
      0.19903642     0.169338  0.000726666  0.000189956  4.14517e-05   0.000158572
      0.19903642     0.211673  0.000218428  0.000418769  9.13828e-05   4.76648e-05
      0.19903642     0.254008  0.000461133  0.000274625  5.99280e-05   0.000100627
      0.19903642     0.296342  0.000274974  0.000279979  6.10963e-05   6.00043e-05
      0.19903642     0.338677  0.000335900  0.000257549  5.62018e-05   7.32993e-05
      0.19903642     0.381011  0.000273112  0.000326099  7.11606e-05   5.95979e-05
      0.19903642     0.423346  0.000845951  0.000190556  4.15828e-05   0.000184602
